star_id,tmass_id,tmass_distance,tmass_angle,ra,dec,start_time,end_time,jmag,hmag,kmag,lcfilter,npts
XO-DR1_1094,2MASS J15494615+2839186,2.77399,44.457092,237.4417,28.6546,2453080.14,2453566.05,9.782,9.203,9.039,W (XO),2950
XO-DR1_1095,2MASS J15495774+3234081,4.184543,-152.071899,237.4912,32.57,2453080.14,2453566.05,10.873,10.656,10.62,W (XO),3104
XO-DR1_1096,2MASS J16070647+3339463,11.71684,41.302547,241.7744,33.6604,2453080.14,2453566.05,10.471,10.121,10.04,W (XO),3133
XO-DR1_1097,2MASS J16055868+3051275,0.834058,38.227249,241.4944,30.8575,2453080.14,2453566.05,11.586,11.568,11.602,W (XO),3118
XO-DR1_1098,2MASS J16080059+2804409,11.395975,121.98893,241.9994,28.0797,2453080.14,2453566.05,10.686,10.44,10.383,W (XO),2884
XO-DR1_1099,2MASS J15483821+3053483,2.148289,114.661728,237.1586,30.897,2453080.14,2453566.05,9.969,9.503,9.401,W (XO),3094
XO-DR1_109,2MASS J15582112+2934311,2.657135,56.906715,239.5873,29.5749,2453080.14,2453566.05,7.285,6.706,6.565,W (XO),3425
XO-DR1_10,2MASS J15522151+2836267,3.345237,-91.66478,238.0907,28.6075,2453080.14,2453566.04,5.78,5.252,5.084,W (XO),2529
XO-DR1_1100,2MASS J16130292+3304002,5.08197,-19.093031,243.2627,33.0654,2453080.14,2453566.05,9.967,9.501,9.391,W (XO),3122
XO-DR1_1101,2MASS J15553146+3348066,6.395859,-32.222073,238.8823,33.8004,2453080.14,2453566.05,10.688,10.374,10.372,W (XO),3121
XO-DR1_1103,2MASS J15511364+3356057,10.254765,-59.001751,237.8098,33.9335,2453080.14,2453566.05,10.332,9.956,9.906,W (XO),3122
XO-DR1_1104,2MASS J15530026+3248538,2.299995,-108.715355,238.2518,32.8152,2453080.14,2453566.05,10.114,9.67,9.56,W (XO),3117
XO-DR1_1105,2MASS J15495608+2756090,7.439054,-101.500175,237.486,27.9363,2453080.14,2453566.05,10.102,9.658,9.59,W (XO),3086
XO-DR1_1107,2MASS J16033518+3248208,2.968081,67.462883,240.8957,32.8055,2453080.14,2453566.05,9.585,8.974,8.853,W (XO),3120
XO-DR1_1108,2MASS J15444243+2826271,6.6164,-59.020771,236.1786,28.4399,2453080.14,2453566.05,10.628,10.332,10.301,W (XO),2953
XO-DR1_1109,2MASS J15534557+3341195,6.333804,-48.924595,238.4415,33.6876,2453080.14,2453566.05,10.571,10.369,10.269,W (XO),3106
XO-DR1_110,2MASS J15575270+3153363,1.750681,128.540756,239.4692,31.8937,2453080.14,2453566.05,8.22,7.979,7.93,W (XO),3431
XO-DR1_1110,2MASS J16143587+3123048,12.046512,-85.199104,243.6534,31.3844,2453080.14,2453566.05,10.325,9.93,9.882,W (XO),3134
XO-DR1_1111,2MASS J15442343+3129513,4.5932,114.741585,236.0963,31.4981,2453080.14,2453566.05,10.073,9.643,9.533,W (XO),3010
